"record_type","model_name","data_name","model_class","formula","created_at","bundle_created_at","n","r","r_squared","adj_r_squared","see","ss_regression","ss_residual","ss_total","df_regression","df_residual","df_total","ms_regression","ms_residual","f","significance","aic","bic","rmse","mae","term","estimate","std_error","t_value","p_value","type","edf","ref_df"
"coefficient","cod_nlmod_tasp_23_25","dfa",NA,NA,"2026-02-18 21:55:36 UTC",NA,8441,0.752021,0.565536,0.555149,0.38213,1566.786435,1203.658992,2770.445426,229,8242.941515,8440,6.841862,0.146023,46.854691,0,7915.745048,9331.145103,0.37762,0.315856,"ecf7R703",-0.482707,0.112393,-4.294811,1.8e-05,"parametric",NA,NA
"coefficient","cod_nlmod_tasp_23_25","dfa",NA,NA,"2026-02-18 21:55:36 UTC",NA,8441,0.752021,0.565536,0.555149,0.38213,1566.786435,1203.658992,2770.445426,229,8242.941515,8440,6.841862,0.146023,46.854691,0,7915.745048,9331.145103,0.37762,0.315856,"ecf7R704",-0.338547,0.089854,-3.767755,0.000166,"parametric",NA,NA
"coefficient","cod_nlmod_tasp_23_25","dfa",NA,NA,"2026-02-18 21:55:36 UTC",NA,8441,0.752021,0.565536,0.555149,0.38213,1566.786435,1203.658992,2770.445426,229,8242.941515,8440,6.841862,0.146023,46.854691,0,7915.745048,9331.145103,0.37762,0.315856,"ecf7R705",-0.336049,0.087608,-3.835818,0.000126,"parametric",NA,NA
"coefficient","cod_nlmod_tasp_23_25","dfa",NA,NA,"2026-02-18 21:55:36 UTC",NA,8441,0.752021,0.565536,0.555149,0.38213,1566.786435,1203.658992,2770.445426,229,8242.941515,8440,6.841862,0.146023,46.854691,0,7915.745048,9331.145103,0.37762,0.315856,"ecf7R706",-0.462734,0.143847,-3.216841,0.001301,"parametric",NA,NA
"coefficient","cod_nlmod_tasp_23_25","dfa",NA,NA,"2026-02-18 21:55:36 UTC",NA,8441,0.752021,0.565536,0.555149,0.38213,1566.786435,1203.658992,2770.445426,229,8242.941515,8440,6.841862,0.146023,46.854691,0,7915.745048,9331.145103,0.37762,0.315856,"ecf7R707",-0.655718,0.16032,-4.090047,4.4e-05,"parametric",NA,NA
"coefficient","cod_nlmod_tasp_23_25","dfa",NA,NA,"2026-02-18 21:55:36 UTC",NA,8441,0.752021,0.565536,0.555149,0.38213,1566.786435,1203.658992,2770.445426,229,8242.941515,8440,6.841862,0.146023,46.854691,0,7915.745048,9331.145103,0.37762,0.315856,"ecf7R708",-0.506557,0.098667,-5.133984,0,"parametric",NA,NA
"coefficient","cod_nlmod_tasp_23_25","dfa",NA,NA,"2026-02-18 21:55:36 UTC",NA,8441,0.752021,0.565536,0.555149,0.38213,1566.786435,1203.658992,2770.445426,229,8242.941515,8440,6.841862,0.146023,46.854691,0,7915.745048,9331.145103,0.37762,0.315856,"ecf7R709",-0.388669,0.09434,-4.119868,3.8e-05,"parametric",NA,NA
"coefficient","cod_nlmod_tasp_23_25","dfa",NA,NA,"2026-02-18 21:55:36 UTC",NA,8441,0.752021,0.565536,0.555149,0.38213,1566.786435,1203.658992,2770.445426,229,8242.941515,8440,6.841862,0.146023,46.854691,0,7915.745048,9331.145103,0.37762,0.315856,"ecf7R710",-0.185392,0.095848,-1.934222,0.05312,"parametric",NA,NA
"coefficient","cod_nlmod_tasp_23_25","dfa",NA,NA,"2026-02-18 21:55:36 UTC",NA,8441,0.752021,0.565536,0.555149,0.38213,1566.786435,1203.658992,2770.445426,229,8242.941515,8440,6.841862,0.146023,46.854691,0,7915.745048,9331.145103,0.37762,0.315856,"ecf7R711",-0.514603,0.094619,-5.438659,0,"parametric",NA,NA
"coefficient","cod_nlmod_tasp_23_25","dfa",NA,NA,"2026-02-18 21:55:36 UTC",NA,8441,0.752021,0.565536,0.555149,0.38213,1566.786435,1203.658992,2770.445426,229,8242.941515,8440,6.841862,0.146023,46.854691,0,7915.745048,9331.145103,0.37762,0.315856,"ecf7R712",-0.422392,0.129142,-3.270767,0.001077,"parametric",NA,NA
"coefficient","cod_nlmod_tasp_23_25","dfa",NA,NA,"2026-02-18 21:55:36 UTC",NA,8441,0.752021,0.565536,0.555149,0.38213,1566.786435,1203.658992,2770.445426,229,8242.941515,8440,6.841862,0.146023,46.854691,0,7915.745048,9331.145103,0.37762,0.315856,"ecf7R713",-0.353078,0.10528,-3.353694,0.000801,"parametric",NA,NA
"coefficient","cod_nlmod_tasp_23_25","dfa",NA,NA,"2026-02-18 21:55:36 UTC",NA,8441,0.752021,0.565536,0.555149,0.38213,1566.786435,1203.658992,2770.445426,229,8242.941515,8440,6.841862,0.146023,46.854691,0,7915.745048,9331.145103,0.37762,0.315856,"ecf7R715",-0.839825,0.284543,-2.951486,0.003171,"parametric",NA,NA
"coefficient","cod_nlmod_tasp_23_25","dfa",NA,NA,"2026-02-18 21:55:36 UTC",NA,8441,0.752021,0.565536,0.555149,0.38213,1566.786435,1203.658992,2770.445426,229,8242.941515,8440,6.841862,0.146023,46.854691,0,7915.745048,9331.145103,0.37762,0.315856,"ecf7R716",-0.809031,0.134193,-6.028848,0,"parametric",NA,NA
"coefficient","cod_nlmod_tasp_23_25","dfa",NA,NA,"2026-02-18 21:55:36 UTC",NA,8441,0.752021,0.565536,0.555149,0.38213,1566.786435,1203.658992,2770.445426,229,8242.941515,8440,6.841862,0.146023,46.854691,0,7915.745048,9331.145103,0.37762,0.315856,"ecf7R717",-1.024638,0.11135,-9.20194,0,"parametric",NA,NA
